001|Dan Brown povod kapitola 83|Dan Brown povod kapitola osemdesiat tri
002|Langdon a Ambra bežali pohľadom po fasáde veľkého kostola.|Langdon a Ambra bežali pohľadom po fasáde veľkého kostola.
003|Vchod do Barcelonského superpočítačového strediska našli v južnom výbežku kostolnej lode. |Vchod do Barcelonského superpočítačového strediska našli v južnom výbežku kostolnej lode. 
004|K rustikálnemu exteriéru tam pristavali moderný plexisklový vestibul, čo dodávalo kostolu hybridný vzhľad budovy, ktorá uviazla medzi stáročiami.|K rustikálnemu exteriéru tam pristavali moderný plexisklový vestibul, čo dodávalo kostolu hybridný vzhľad budovy, ktorá uviazla medzi stáročiami.
005|Na nádvorí neďaleko vchodu stála štvormetrová busta primitívneho bojovníka.|Na nádvorí neďaleko vchodu stála štvormetrová busta primitívneho bojovníka.
006|Langdon si nevedel predstaviť, prečo je také niečo na pozemkoch katolíckej cirkvi, no keďže poznal Edmonda, vedel, že to tu bude plné protirečení.|Langdon si nevedel predstaviť, prečo je také niečo na pozemkoch katolíckej cirkvi, no keďže poznal Edmonda, vedel, že to tu bude plné protirečení.
007|Ambra sa náhlila k hlavnému vchodu a stisla tlačidlo pri dverách.|Ambra sa náhlila k hlavnému vchodu a stisla tlačidlo pri dverách.
008|Keď sa k nej pripojil Langdon, nasmerovala sa na nich bezpečnostná kamera nad vchodom a chvíľu ich z rozličných uhlov snímala.|Keď sa k nej pripojil Langdon, nasmerovala sa na nich bezpečnostná kamera nad vchodom a chvíľu ich z rozličných uhlov snímala.
009|Napokon zabzučalo a dvere sa otvorili.|Napokon zabzučalo a dvere sa otvorili.
010|Rýchlo vošli do veľkého vestibulu, prerobeného z pôvodnej kostolnej predsiene.|Rýchlo vošli do veľkého vestibulu, prerobeného z pôvodnej kostolnej predsiene.
011|Bola to uzavretá kamenná sieň, prázdna a tlmene osvetlená.|Bola to uzavretá kamenná sieň, prázdna a tlmene osvetlená.
012|Langdon očakával, že ich niekto privíta, možno niektorý z Edmondových zamestnancov, ale vestibul bol opustený.|Langdon očakával, že ich niekto privíta, možno niektorý z Edmondových zamestnancov, ale vestibul bol opustený.
013|Nikto tu nie je, zašepkala Ambra.|Nikto tu nie je, zašepkala Ambra.
014|Vtom začuli tichú, zbožnú cirkevnú melódiu.|Vtom začuli tichú, zbožnú cirkevnú melódiu.
015|Polyfonické dielo pre mužský zbor, ktoré im znelo hmlisto povedome.|Polyfonické dielo pre mužský zbor, ktoré im znelo hmlisto povedome.
016|Langdon ho nevedel zaradiť, ale tajuplnú cirkevnú hudbu v počítačovej inštitúcii pokladal za dôkaz Edmondovho nezbedného zmyslu pre humor.|Langdon ho nevedel zaradiť, ale tajuplnú cirkevnú hudbu v počítačovej inštitúcii pokladal za dôkaz Edmondovho nezbedného zmyslu pre humor.
017|Jediné osvetlenie sálalo z velikánskej plazmovej obrazovky na stene.|Jediné osvetlenie sálalo z velikánskej plazmovej obrazovky na stene.
018|Mihotalo sa na nej čosi ako primitívna počítačová hra.|Mihotalo sa na nej čosi ako primitívna počítačová hra.
019|Zhluky čiernych bodiek sa pohybovali na bielom povrchu ako skupinky bezcieľne pobiehajúcich chrobákov.|Zhluky čiernych bodiek sa pohybovali na bielom povrchu ako skupinky bezcieľne pobiehajúcich chrobákov.
020|Nie celkom bezcieľne, uvedomil si Langdon, keď spoznal, o čo ide.|Nie celkom bezcieľne, uvedomil si Langdon, keď spoznal, o čo ide.
021|Túto známu, počítačom vytvorenú postupnosť s názvom Život vymyslel v sedemdesiatych rokoch minulého storočia britský matematik John Conway.|Túto známu, počítačom vytvorenú postupnosť s názvom Život vymyslelv sedemdesiatych rokoch minulého storočia britský matematik John Conway.
